Blocking_status,Fisrt_name,Last_name,DriverID,Phone_no,Email,Admin_verification,Joining_date,Order_recieved,Order_placed,Total_sales,Distance_travelled,Amount_paid,Driver_address,City,State,Pincode
1,Alease,Buemi,89536K,5498523710,balease@webdriver.com,1,08-07-16,79,29,73707,1394,40229,4 Webbs Chapel Rd,Boulder,Karnataka,630276
1,Louisa,Cronauer,75113O,5994777246,clouisa@webdriver.com,1,20-03-16,77,29,53318,867,14359,524 Louisiana Ave Nw,San Leandro,Telangana,329783
1,Angella,Cetta,16641C,7879706579,cangella@webdriver.com,1,18-11-16,61,34,38900,1641,43198,185 Blackstone Bldge,Honolulu,Gujarat,446348
0,Cyndy,Goldammer,26166Y,7637575198,gcyndy@webdriver.com,0,05-04-18,72,43,69561,1308,15198,170 Wyoming Ave,Burnsville,Tamil Nadu,212439
1,Rosio,Cork,36728M,4632358533,crosio@webdriver.com,0,11-02-16,53,34,42610,1164,15328,4 10th St W,High Point,West Bengal,704404
0,Celeste,Korando,32918J,9728242049,kceleste@webdriver.com,1,08-08-17,51,27,47988,2303,43893,7 W Pinhook Rd,Lynbrook,Gujarat,174070
0,Twana,Felger,32076P,4637241847,ftwana@webdriver.com,1,18-02-16,76,32,90055,1005,28620,1 Commerce Way,Portland,Maharashtra,155913
0,Estrella,Samu,38198X,5619393571,sestrella@webdriver.com,0,27-11-17,70,32,92010,1113,34389,64 Lakeview Ave,Beloit,Rajasthan,743221
0,Donte,Kines,37148R,5309603068,kdonte@webdriver.com,0,06-08-18,61,38,61959,1989,21732,3 Aspen St,Worcester,Uttar Pradesh,828879
0,Tiffiny,Steffensmeier,14255A,2734556009,stiffiny@webdriver.com,0,21-11-17,67,42,28001,2007,42907,32860 Sierra Rd,Miami,Uttar Pradesh,980357
0,Edna,Miceli,62518V,4772621032,medna@webdriver.com,0,19-04-17,55,32,64115,2595,44207,555 Main St,Erie,Maharashtra,542382
1,Sue,Kownacki,54365J,1365480891,ksue@webdriver.com,0,05-01-18,75,26,21429,2183,30203,2 Se 3rd Ave,Mesquite,Madhya Pradesh,233198
0,Jesusa,Shin,33445Q,8962440732,sjesusa@webdriver.com,0,26-12-16,79,32,51058,1689,27037,2239 Shawnee Mission Pky,Tullahoma,Maharashtra,969313
1,Rolland,Francescon,85734K,8214373375,frolland@webdriver.com,1,22-11-18,62,34,58861,1510,28162,2726 Charcot Ave,Paterson,Madhya Pradesh,151033
0,Pamella,Schmierer,70905S,8466546196,spamella@webdriver.com,0,09-02-18,69,48,96302,2795,12728,5161 Dorsett Rd,Homestead,Tamil Nadu,322793
1,Glory,Kulzer,54855V,1551965165,kglory@webdriver.com,1,18-01-17,67,49,92013,2286,17110,55892 Jacksonville Rd,Owings Mills,Andhra Pradesh,398073
0,Shawna,Palaspas,78731M,5038347544,pshawna@webdriver.com,1,12-07-17,59,30,57817,1881,13700,5 N Cleveland Massillon Rd,Thousand Oaks,Maharashtra,739425
0,Brandon,Callaro,29612P,8639258285,cbrandon@webdriver.com,1,24-03-18,51,30,44332,1653,21027,7 Benton Dr,Honolulu,Bihar,475417
0,Scarlet,Cartan,47271O,9559328958,cscarlet@webdriver.com,1,23-11-18,54,30,54799,558,33871,9390 S Howell Ave,Albany,Gujarat,684354
0,Oretha,Menter,52307K,5007958429,moretha@webdriver.com,0,25-05-18,77,45,61207,2259,43597,8 County Center Dr #647,Boston,Uttar Pradesh,514954
0,Ty,Smith,51264S,4840523503,sty@webdriver.com,1,25-01-18,63,46,32873,1180,20843,4646 Kaahumanu St,Hackensack,Punjab,122550
0,Xuan,Rochin,12202F,9877953996,rxuan@webdriver.com,1,20-06-18,73,33,45644,2312,38902,2 Monroe St,San Mateo,Uttar Pradesh,698843
1,Lindsey,Dilello,89229Q,6604108538,dlindsey@webdriver.com,0,28-08-18,53,47,18835,2624,33083,52777 Leaders Heights Rd,Ontario,Maharashtra,233716
1,Devora,Perez,64270Z,4469605502,pdevora@webdriver.com,0,23-12-18,50,33,99809,2407,20161,72868 Blackington Ave,Oakland,Jharkhand,517415
0,Herman,Demesa,25709U,2892076913,dherman@webdriver.com,0,29-03-16,62,41,97934,2504,44669,9 Norristown Rd,Troy,Haryana,787032
1,Rory,Papasergi,22512E,4518876971,prory@webdriver.com,0,16-10-16,67,35,15226,1519,31883,83 County Road 437 #8581,Clarks Summit,Uttar Pradesh,909176
1,Talia,Riopelle,38295Y,2672267952,rtalia@webdriver.com,0,26-05-18,75,35,42336,2867,21143,1 N Harlem Ave #9,Orange,Gujarat,733197
