Blocking_status,first_name,last_name,Seller_Id,Phone_no,E-mail,Admin_verification_status,Joining_date,Order_recieved,Order_placed,Total_sales,Sellers_address,City,State,Pincode
0,James,Butt,563901,4667064554,bjames@webdriver.com,0,27-12-19,51,41,6320429,6649 N Blue Gum St,New Orleans,Karnataka,775688
0,Josephine,Darakjy,241319,3542769188,djosephine@webdriver.com,1,19-11-17,66,39,8084343,4 B Blue Ridge Blvd,Brighton,Telangana,115901
1,Art,Venere,863440,2308856604,vart@webdriver.com,1,26-12-17,53,36,2164766,8 W Cerritos Ave #54,Bridgeport,Gujarat,104546
1,Lenna,Paprocki,812313,6857267954,plenna@webdriver.com,0,25-04-18,59,48,7877431,639 Main St,Anchorage,Tamil Nadu,863965
1,Donette,Foller,147063,1347271540,fdonette@webdriver.com,1,15-07-19,65,41,3897402,34 Center St,Hamilton,West Bengal,628396
0,Simona,Morasca,880163,1933823799,msimona@webdriver.com,0,26-12-16,70,46,2343742,3 Mcauley Dr,Ashland,Gujarat,716935
0,Mitsue,Tollner,132487,9858691953,tmitsue@webdriver.com,0,21-09-18,56,40,8983132,7 Eads St,Chicago,Maharashtra,215411
1,Leota,Dilliard,685714,9985741239,dleota@webdriver.com,1,28-04-19,72,47,2449129,7 W Jackson Blvd,San Jose,Rajasthan,418945
0,Sage,Wieser,743945,3595266739,wsage@webdriver.com,0,02-04-16,73,43,960151,5 Boston Ave #88,Sioux Falls,Uttar Pradesh,729525
1,Kris,Marrier,366938,6055992534,mkris@webdriver.com,0,31-07-19,60,42,9505917,228 Runamuck Pl #2808,Baltimore,Uttar Pradesh,524824
0,Minna,Amigon,540722,3998298779,aminna@webdriver.com,1,31-07-16,70,48,9485109,2371 Jerrold Ave,Kulpsville,Maharashtra,120780
1,Abel,Maclead,533659,7999857100,mabel@webdriver.com,1,19-10-18,63,37,8160706,37275 St  Rt 17m M,Middle Island,Madhya Pradesh,815252
1,Kiley,Caldarera,781882,5450058707,ckiley@webdriver.com,0,05-12-17,73,46,1708936,25 E 75th St #69,Los Angeles,Maharashtra,691233
0,Graciela,Ruta,148744,5154938713,rgraciela@webdriver.com,1,19-10-18,66,47,9965996,98 Connecticut Ave Nw,Chagrin Falls,Madhya Pradesh,339728
1,Cammy,Albares,944493,3245263253,acammy@webdriver.com,0,24-11-17,50,46,6059991,56 E Morehead St,Laredo,Tamil Nadu,983568
0,Mattie,Poquette,462253,4308708477,pmattie@webdriver.com,0,10-05-16,65,37,4327172,73 State Road 434 E,Phoenix,Andhra Pradesh,689754
0,Meaghan,Garufi,920731,7508321486,gmeaghan@webdriver.com,0,18-12-18,72,40,2860876,69734 E Carrillo St,Mc Minnville,Maharashtra,462692
1,Gladys,Rim,350872,2920607791,rgladys@webdriver.com,1,14-01-18,64,44,5049028,322 New Horizon Blvd,Milwaukee,Bihar,138936
1,Yuki,Whobrey,121628,2222933557,wyuki@webdriver.com,1,20-07-19,51,50,4060378,1 State Route 27,Taylor,Gujarat,790360
0,Fletcher,Flosi,821159,4311127574,ffletcher@webdriver.com,1,29-07-18,52,37,9063780,394 Manchester Blvd,Rockford,Uttar Pradesh,675634
1,Bette,Nicka,464404,3496655490,nbette@webdriver.com,0,11-05-17,52,49,5806236,6 S 33rd St,Aston,Punjab,911118
1,Veronika,Inouye,191789,9394048041,iveronika@webdriver.com,0,27-04-16,75,33,8305036,6 Greenleaf Ave,San Jose,Uttar Pradesh,132180
0,Willard,Kolmetz,363418,4827323151,kwillard@webdriver.com,1,22-06-17,62,32,5282801,618 W Yakima Ave,Irving,Maharashtra,678537
0,Maryann,Royster,754516,8747110610,rmaryann@webdriver.com,1,26-04-18,77,30,1388189,74 S Westgate St,Albany,Jharkhand,491644
0,Alisha,Slusarski,917835,1113633284,salisha@webdriver.com,0,28-05-18,73,44,1763061,3273 State St,Middlesex,Haryana,822357
0,Allene,Iturbide,892905,1312156844,iallene@webdriver.com,1,18-06-16,55,50,6747813,1 Central Ave,Stevens Point,Uttar Pradesh,755672
1,Chanel,Caudy,249316,8565891979,cchanel@webdriver.com,0,22-08-17,79,45,2981920,86 Nw 66th St #8673,Shawnee,Gujarat,173385
1,Ezekiel,Chui,508693,8796442534,cezekiel@webdriver.com,1,04-02-19,71,33,5954027,2 Cedar Ave #84,Easton,Maharashtra,617842
0,Willow,Kusko,974480,9841454973,kwillow@webdriver.com,0,31-10-18,70,45,2243219,90991 Thorburn Ave,New York,Maharashtra,846469
0,Bernardo,Figeroa,197105,4112037284,fbernardo@webdriver.com,1,03-10-17,73,30,2886469,386 9th Ave N,Conroe,Uttar Pradesh,960832
0,Ammie,Corrio,444673,2243808808,cammie@webdriver.com,1,13-02-17,71,47,3704037,74874 Atlantic Ave,Columbus,Jammu and Kashmir,229119
1,Francine,Vocelka,249037,5302544844,vfrancine@webdriver.com,1,20-12-19,56,38,3536662,366 South Dr,Las Cruces,Maharashtra,774096
1,Ernie,Stenseth,649269,7799854455,sernie@webdriver.com,1,16-07-18,61,38,9262625,45 E Liberty St,Ridgefield Park,Jharkhand,333710
1,Albina,Glick,672613,9087644047,galbina@webdriver.com,0,04-05-18,72,37,7717365,4 Ralph Ct,Dunellen,Punjab,595946
1,Alishia,Sergi,712557,5540884162,salishia@webdriver.com,1,03-07-17,53,30,1797177,2742 Distribution Way,New York,Maharashtra,259483
0,Solange,Shinko,686788,9852072629,ssolange@webdriver.com,1,31-07-18,70,31,6524858,426 Wolf St,Metairie,Uttar Pradesh,622681
1,Jose,Stockham,492132,2468894596,sjose@webdriver.com,0,11-04-18,70,50,387010,128 Bransten Rd,New York,West Bengal,975856
0,Rozella,Ostrosky,640933,6429929043,orozella@webdriver.com,1,25-11-18,69,30,3781777,17 Morena Blvd,Camarillo,Madhya Pradesh,845894
1,Valentine,Gillian,163391,9644399359,gvalentine@webdriver.com,0,08-05-18,51,47,4095803,775 W 17th St,San Antonio,Madhya Pradesh,955512
0,Kati,Rulapaugh,965572,7333848405,rkati@webdriver.com,1,17-05-17,60,45,6109519,6980 Dorsett Rd,Abilene,Tamil Nadu,749900
0,Youlanda,Schemmer,764488,8021123169,syoulanda@webdriver.com,0,21-03-16,52,47,6694179,2881 Lewis Rd,Prineville,Andhra Pradesh,321429
0,Dyan,Oldroyd,237620,2271745993,odyan@webdriver.com,1,19-04-19,53,44,2114505,7219 Woodfield Rd,Overland Park,Rajasthan,107611
0,Roxane,Campain,838568,7016452418,croxane@webdriver.com,0,23-03-18,55,46,4688829,1048 Main St,Fairbanks,Tamil Nadu,864936
1,Lavera,Perin,454912,1759574842,plavera@webdriver.com,0,09-03-17,74,39,6850067,678 3rd Ave,Miami,Chhattisgarh,643606
1,Erick,Ferencz,905276,3665131692,ferick@webdriver.com,0,05-09-18,56,47,4624067,20 S Babcock St,Fairbanks,Rajasthan,959514
0,Fatima,Saylors,871844,7239287663,sfatima@webdriver.com,1,23-09-18,63,43,2300996,2 Lighthouse Ave,Hopkins,Chandigarh,846559
0,Jina,Briddick,880709,9615644078,bjina@webdriver.com,1,28-10-18,78,37,5036474,38938 Park Blvd,Boston,Assam,735811
1,Kanisha,Waycott,838907,5444497269,wkanisha@webdriver.com,1,16-08-18,78,42,8005943,5 Tomahawk Dr,Los Angeles,Maharashtra,129040
1,Emerson,Bowley,346684,1760957132,bemerson@webdriver.com,1,20-03-16,68,32,5525145,762 S Main St,Madison,Karnataka,621933
0,Blair,Malet,253806,8339522613,mblair@webdriver.com,1,11-03-17,54,41,4298939,209 Decker Dr,Philadelphia,Karnataka,670359
1,Brock,Bolognia,646855,1731200246,bbrock@webdriver.com,0,24-06-19,51,37,5037411,4486 W O St #1,New York,Tamil Nadu,806885
1,Lorrie,Nestle,120707,6084193717,nlorrie@webdriver.com,0,23-12-18,51,33,4833480,39 S 7th St,Tullahoma,Uttar Pradesh,642435
0,Sabra,Uyetake,496103,8564180149,usabra@webdriver.com,0,05-01-19,75,40,8870150,98839 Hawthorne Blvd #6101,Columbia,Uttar Pradesh,896967
0,Marjory,Mastella,819135,9155587213,mmarjory@webdriver.com,0,08-06-18,64,49,6333180,71 San Mateo Ave,Wayne,Tamil Nadu,884148
1,Karl,Klonowski,349860,2231871043,kkarl@webdriver.com,1,11-04-18,58,38,4132969,76 Brooks St #9,Flemington,Haryana,195900
0,Tonette,Wenner,442256,6272312172,wtonette@webdriver.com,0,16-05-16,57,45,5799832,4545 Courthouse Rd,Westbury,Uttar Pradesh,875588
0,Amber,Monarrez,193188,3602270980,mamber@webdriver.com,1,16-03-18,63,38,2296990,14288 Foster Ave #4121,Jenkintown,Punjab,178546
0,Shenika,Seewald,656486,3185671858,sshenika@webdriver.com,0,26-06-17,75,45,554627,4 Otis St,Van Nuys,Odisha,985964
0,Delmy,Ahle,425292,7807957356,adelmy@webdriver.com,1,22-11-19,70,43,6152383,65895 S 16th St,Providence,Telangana,586238
1,Deeanna,Juhas,378371,2413539915,jdeeanna@webdriver.com,1,22-12-17,54,43,6210653,14302 Pennsylvania Ave,Huntingdon Valley,Maharashtra,994899
0,Blondell,Pugh,231708,9216512738,pblondell@webdriver.com,0,25-11-18,60,36,6804516,201 Hawk Ct,Providence,Maharashtra,469819
0,Jamal,Vanausdal,568627,5351775597,vjamal@webdriver.com,0,08-10-18,61,36,5153154,53075 Sw 152nd Ter #615,Monroe Township,Andhra Pradesh,782505
1,Cecily,Hollack,236780,8912540431,hcecily@webdriver.com,1,26-09-18,80,40,6932140,59 N Groesbeck Hwy,Austin,Kerala,374025
0,Carmelina,Lindall,524653,1912916282,lcarmelina@webdriver.com,0,21-04-19,68,31,5909780,2664 Lewis Rd,Littleton,Maharashtra,152801
0,Maurine,Yglesias,778439,1191589166,ymaurine@webdriver.com,1,27-02-19,77,44,9086429,59 Shady Ln #53,Milwaukee,Uttar Pradesh,409930
1,Tawna,Buvens,205806,2869298566,btawna@webdriver.com,0,07-03-16,80,35,5466929,3305 Nabell Ave #679,New York,Uttar Pradesh,366186
0,Penney,Weight,637326,7422105763,wpenney@webdriver.com,1,08-09-18,78,45,7504231,18 Fountain St,Anchorage,Rajasthan,285777
0,Elly,Morocco,455026,8533741991,melly@webdriver.com,1,09-01-18,77,44,7493357,7 W 32nd St,Erie,Maharashtra,801606
0,Ilene,Eroman,417726,1580255841,eilene@webdriver.com,1,11-05-18,75,49,2182703,2853 S Central Expy,Glen Burnie,Uttar Pradesh,279121
1,Vallie,Mondella,544429,3581120257,mvallie@webdriver.com,0,14-02-17,59,35,329360,74 W College St,Boise,Jharkhand,959518
1,Kallie,Blackwood,550644,3856415008,bkallie@webdriver.com,1,11-06-16,61,39,9630685,701 S Harrison Rd,San Francisco,Chhattisgarh,127907
0,Johnetta,Abdallah,982087,4119732705,ajohnetta@webdriver.com,1,15-09-17,57,39,7944535,1088 Pinehurst St,Chapel Hill,Odisha,457030
